iter	Passed	Remaining
370	789	344
371	791	342
372	793	340
373	796	338
374	798	336
375	801	334
376	803	332
377	805	330
378	808	328
379	810	326
380	812	324
381	814	322
382	816	319
383	818	317
384	821	315
385	823	313
386	825	311
387	827	309
388	829	307
389	832	305
390	834	303
391	836	301
392	838	298
393	841	296
394	843	294
395	845	292
396	847	290
397	850	288
398	852	286
399	854	284
400	857	282
401	859	279
402	861	277
403	863	275
404	865	273
405	868	271
406	870	269
407	872	267
408	875	265
409	877	263
410	879	260
411	881	258
412	883	256
413	885	254
414	888	252
415	890	250
416	892	248
417	894	246
418	896	244
419	898	241
420	901	239
421	903	237
422	905	235
423	908	233
424	909	231
425	912	229
426	914	226
427	916	224
428	919	222
429	920	220
430	922	218
431	925	216
432	927	214
433	929	212
434	931	209
435	933	207
436	935	205
437	937	203
438	940	201
439	942	199
440	944	197
441	946	194
442	948	192
443	951	190
444	952	188
445	954	186
446	956	184
447	959	181
448	961	179
449	963	177
450	965	175
451	967	173
452	969	171
453	971	169
454	973	166
455	975	164
456	978	162
457	980	160
458	982	158
459	984	156
460	986	154
461	989	152
462	991	149
463	993	147
464	995	145
465	997	143
466	999	141
467	1001	139
468	1004	137
469	1006	134
470	1008	132
471	1011	130
472	1013	128
473	1015	126
474	1017	124
475	1019	122
476	1021	119
477	1024	117
478	1026	115
479	1028	113
480	1030	111
481	1032	109
482	1035	107
483	1037	105
484	1039	102
485	1041	100
486	1043	98
487	1045	96
488	1046	94
489	1049	92
490	1051	89
491	1053	87
492	1055	85
493	1057	83
494	1060	81
495	1062	79
496	1064	77
497	1066	74
498	1069	72
499	1071	70
500	1073	68
501	1075	66
502	1077	64
503	1079	62
504	1081	59
505	1084	57
506	1086	55
507	1088	53
508	1091	51
509	1093	49
510	1094	47
511	1097	44
512	1099	42
